name,full_name,age,gender,wikidata_id
AALERUD Katrine,Katrine Aalerud,30,Female,Q26911840
ABAD Nestor,Néstor Abad,31,Male,Q23542534
ABAGNALE Giovanni,Giovanni Abagnale,29,Male,Q22966926
ABALDE Alberto,Alberto Abalde,29,Male,Q19845456
ABALDE Tamara,Tamara Abalde,35,Female,Q2705915
ABALO Luc,Luc Abalo,40,Male,Q445961
ABAROA Cesar,César Abaroa,28,Male,Q107691531
ABASS Abobakr,Abobakr Abass,26,Male,Q96607967
ABBASALI Hamideh,Hamideh Abbasali,34,Female,Q18227912
ABBASOV Islam,Islam Abbasov,28,Male,Q30231125
ABBINGH Lois,Lois Abbingh,32,Female,Q440466
ABBOT Emily,Emily Abbot,27,Female,Q107673061
ABBOTT Monica,Monica Abbott,39,Female,Q3042107
ABDALRASOOL Mohamed,Mohamed Abdalarasool,31,Male,Q107630712
ABDELAZIZ Abdalla,Abdalla Abdelaziz,25,Male,Q107596045
ABDELAZIZ Farah,Farah Abdelaziz,32,Female,Q107877445
ABDELAZIZ Feryal,Feryal Abdelaziz,25,Female,Q86833068
ABDELMAWGOUD Mohamed,Mohamed Abdelmawgoud,30,Male,Q26996261
ABDELRAHMAN Ihab,Ihab Abdelrahman,35,Male,Q977142
ABDELSALAM Mohamed,Mohamed Abdelsalam,Unknown,Male,Q48110964
ABDELSALAM Nour,Nour Abdelsalam,31,Female,Q50675406
ABDELWAHED Ahmed,Ahmed Abdelwahed,28,Male,Q33101666
ABDI Bashir,Abdi Bashir Indhobuur,Unknown,Male,Q4664942
ABDIRAHMAN Abdi,Abdirahman Abdi,Unknown,Male,Q43162269
ABDULHAMID Saud,Saud Abdulhamid,25,Male,Q60407856
ABDULLAEV Gulomjon,Gulomjon Abdullaev,26,Male,Q107699932
ABDULLAEV Muminjon,Muminjon Abdullaev,35,Male,Q6935413
ABDULLIN Ilfat,Ilfat Abdullin,26,Male,Q107620842
ABDULREDHA Mohamed,Death of Abdulredha Buhmaid,Unknown,Unknown,Q5247386
ABDURAIMOV Elnur,Elnur Abduraimov,30,Male,Q23060336
ABDURAKHIMOV Rasuljon,Rasuljon Abdurakhimov,28,Male,Q23887738
ABDURAKHMONOV Bekzod,Bekzod Abdurahmonov,34,Male,Q19834228
ABE Hifumi,Hifumi Abe,27,Male,Q17685861
ABE Takatoshi,Takatoshi Abe,33,Male,Q3514217
ABE Uta,Abe Uta,24,Female,Q55281936
ABEBE Mekides,Mekides Abebe,23,Female,Q67816189
ABEDINI Mojtaba,Mojtaba Abedini,40,Male,Q1442652
ABEL Jennifer,Jennifer Abel,33,Female,Q455778
ABELA Matthew,Matthew Abela,25,Male,Q65689118
ABEYSINGHE Matthew,Mathew Abeysinghe,28,Male,Q23542541
ABIAN Pablo,Pablo Abián,39,Male,Q983474
ABICHA Mohammed,Mohamed Abicha,44,Male,Q107611157
ABICHT Lorena,Lorena Abicht,30,Female,Q76762025
ABIDINE Abidine,Abidine Abidine,31,Male,Q107969623
ABLIAZIN Denis,Denis Ablyazin,32,Male,Q639739
ABOUD Hadel,Hadel Aboud,25,Female,Q107709961
ABOUELKASSEM Alaaeldin,Alaaeldin Abouelkassem,34,Male,Q178889
ABRAHAM Tadesse,Tadesse Abraham,42,Male,Q19365752
ABRAMS Aliyah,Aliyah Abrams,27,Female,Q26790028
ABRAMS Jasmine,Jasmine Abrams,30,Female,Q107053740
ABREU Diogo,Diogo Abreu,31,Male,Q25190329
ABROSIMOV Kirill,Kirill Abrosimov,33,Male,Q106859203
ABUAKU Joshua,Joshua Abuaku,28,Male,Q45922255
ABUJBARA Tala,Tala Abujbara,32,Female,Q107626011
ACERENZA Domenico,Domenico Acerenza,29,Male,Q55187596
ACETI Vladimir,Vladimir Aceti,26,Male,Q31794307
ACHAB Jaouad,Jaouad Achab,32,Male,Q18913607
ACHILLEOS Georgios,Georgios Achilleos,44,Male,Q954832
ACHIUWA Precious,Precious Achiuwa,25,Male,Q63112754
ACHONWA Natalie,Natalie Achonwa,32,Female,Q3336392
ACKERMANN Simone,Simone Ackermann,34,Female,Q101130581
ACOSTA Briseida,Briseida Acosta,31,Female,Q16143415
